kategori,baslik,link,icerik,temiz_icerik
spor,Ancelotti ve Modric'ten Real Madrid'e veda,"https://www.ntv.com.tr/sporskor/ancelotti-ve-modricten-real-madride-veda,1GLgZ7eRN0qgY1KygTg88g","İspanya 1.FutbolLigi'nde (LaLiga) sezonun son maçındaReal Madrid, Real Sociedad'ı evinde 1-0 yendi.MODRİC VE ANCELOTTİ'YE VEDASözleşmelerinin sezon sonu yenilenmeyeceği açıklanan İtalyan teknik adam Carlo Ancelotti ve kulüp efsanesi Hırvat orta saha Luka Modric'e ev sahibi ekibin tribünlerinde veda pankartları açıldı.Ancelotti, 3'ü Şampiyonlar Ligi, 2'si LaLiga şampiyonluğu olmak üzere Real Madrid ile toplam 15 kupa kaldırdı.Real Madrid'de 6 kez UEFA Şampiyonlar Ligi ve 4 kez de lig şampiyonluğu yaşayan kaptan Modric, 2018'de hem UEFA'da ""Yılın Futbolcusu"" hem de ""Altın Top"" (Ballon d'Or) ödülünü kazandı.",ispanya futbolliginde laliga sezonun son maçındareal madrid real sociedadı evinde yendimodric ancelottiye vedasözleşmelerinin sezon sonu yenilenmeyeceği açıklanan italyan teknik adam carlo ancelotti kulüp efsanesi hırvat orta saha luka modrice ev sahibi ekibin tribünlerinde veda pankartları açıldıancelotti ü şampiyonlar ligi si laliga şampiyonluğu olmak üzere real madrid toplam kupa kaldırdıreal madridde uefa şampiyonlar ligi lig şampiyonluğu yaşayan kaptan modric uefada yılın futbolcusu altın top ballon dor ödülünü kazandı
spor,"Salah, Premier Lig'de ""sezonun oyuncusu"" seçildi","https://www.ntv.com.tr/sporskor/salah-premier-ligde-sezonun-oyuncusu-secildi,y8XnzIVE10azVhJOPPKZNg","Liverpoolformasıyla sezonu 28 gol, 18 asistle tamamlayan 32 yaşındaki tecrübeli isim, Premier Lig tarihinde bu ödülü birden fazla kez alan 5. oyuncu oldu.Salah, sezonun oyuncusu ödülünü 2017-18'de de kazandı.​​​​​​​Premier Lig'de 185 gole ulaşan Salah, ligde en çok gol atanlar listesinde Alan Shearer (260), Harry Kane (213), Wayne Rooney (208) ve Andy Cole'un (187) ardından 5. sırada bulunuyor.",liverpoolformasıyla sezonu gol asistle tamamlayan yaşındaki tecrübeli isim premier lig tarihinde ödülü birden fazla alan oyuncu oldusalah sezonun oyuncusu ödülünü kazandıpremier ligde gole ulaşan salah ligde gol atanlar listesinde alan shearer harry kane wayne rooney andy coleun ardından sırada bulunuyor
spor,Okan Buruk: Bazen sahanın içerisinde oynadığınız futbol yeterli kalmıyor,"https://www.ntv.com.tr/sporskor/okan-buruk-bazen-sahanin-icerisinde-oynadiginiz-futbol-yeterli-kalmiyor,g8ok5PR0YUeLVBWNYlpYOQ","TrendyolSüper Lig'in 37. haftasındaGalatasaray, deplasmanda karşılaştığı Göztepe'yi 2-0 mağlup etti. Galatasaray Teknik DirektörüOkan Buruk, müsabaka sonrasında düzenlenen basın toplantısında açıklamalarda bulundu.İki takımın da iyi niyetli mücadele ettiğini ifade eden Buruk, ""Uzun süredir oynamayan oyuncularım vardı. 90 dakika görmemiş oyuncularımız çok fazlaydı. Bugün geçen haftaki maça göre 10 değişiklik yapmıştık. İki takım da pozisyonlar yakaladı. Kazandığımız için mutluyuz. Tabii ki 92 puana gelmek, 92 puan önümüzdeki hafta tekrar kazanıp 95 puanı yakalayabiliriz. Bundan önce kırdığımız rekorlar vardı. Bu sene de rekor kırmasak da yine en çok puan toplayan takımlar listesine tekrar Galatasaray bir sezonu daha ekledi. Bu da bizim için önemli ve değerli."" diye konuştu.İzmir’deki sarı-kırmızılı taraftarlara teşekkür eden Buruk, ""Yarın da Yenikapı'da bizim için çok önemli bir organizasyon var. Herkesi oraya bekliyorum. Burada da sezon başından itibaren bu zamana kadar hep Galatasaray'ın haklarını korumaya çalıştım. Saha içerisi, saha dışı bu anlamda bizim için çok zor ve özel bir seneydi. Yani bunun altını çizmek gerekiyor. Bence bu sene en zor, en özel senelerden biriydi. Yani bazen sadece sahanın içerisinde oynadığınız futbol yeterli kalmıyor."" açıklamasında bulundu.Bu sezon hakkında da konuşan Buruk, ""Bu sene Avrupa'da daha iyi işler yapabilirdik. Bu bizim için önemli bir yara. Ama önümüzdeki sene de Şampiyonlar Ligi'nde olacağız. Şampiyonlar Ligi'nde inşallah ona uygun da bir kadroyla birlikte yine Türkiye'yi doğru bir şekilde temsil etmeye çalışacağız. Galatasaray'ın adını tekrar Avrupa'da duyurmaya çalışacağız. Aslında çok iyi başladığımız serüveni kötü bitirdik."" diye konuştu.""AVRUPA'DA ŞANSSIZ PUANLAR KAYBETTİK""Avrupa maçları hakkında ise Buruk, ""Yani çok formda başladığımız, çok iyi oyunlar oynadığımız serüveni Tottenham maçını kazanan, Avrupa Ligi'ni kazanan takıma karşı kurduğumuz üstünlüğü, oyun üstünlüğünü gördüğümüzde çok iyi başladık ama onun yanında da belki hiç puan kaybetmeyeceğimiz dediğimiz takımlara puanlar kaybettik ve devamında ilk 8'e kalamayıp eleme turu oynayıp orada da elendik. Buradan tabii ki dersler alıyoruz. Yani transferle ilgili dersler alıyoruz. Oyuncu yapısı, kadro genişliği ile ilgili oyunculara hazırlama. Yani benim için en zor olan şeylerden biri Türkiye Ligi'nde hep kazanmak zorundasınız. Yani burada çok fazla maç maç rotasyon yapamıyorsunuz. Çünkü puan kaybetmemek zorundasınız. Bu biraz bizi zorlaştırıyor, işimizi zorlaştırıyor. Avrupa'daki başarımızı biraz daha engelliyor. Çünkü son senelerde puan çok fazla yükseldi"" şeklinde konuştu.""PUAN KAYBETMEMEMİZ GEREKİYOR""Şampiyon olan takımların puan bareminin çok yükseldiğini dile getiren Buruk, ""Hiç puan kaybetmememiz gerekiyor. Dediğim gibi Şampiyonlar Ligi çok daha farklı olacak. Tabii ki ilk 8 hedefiniz var ama 24'e de girip bir üst tura çıkma hedefimiz. Burada iki tane hedef olacak. Ama onun yanında dediğim gibi yani ona uygun bir kadro, kadro genişliği, kadro rotasyonu çok daha önemli olacak. Daha sert maçlar yapacağız. Ama Şampiyonlar Ligi'nde bir önceki için şey diyorduk final oynamak istiyoruz. Ama Şampiyonlar Ligi bu anlamda direkt olarak final oynayacağız diyebileceğiniz bir organizasyon değil. Çok önemli takımlar var. Ama kimin ne yapacağı da hiçbir zaman belli olmuyor. Burada hedefimiz gidebildiğimiz en iyi yere kadar devam etmek olacak."" dedi.",trendyolsüper ligin haftasındagalatasaray deplasmanda karşılaştığı göztepeyi mağlup etti galatasaray teknik direktörüokan buruk müsabaka sonrasında düzenlenen basın toplantısında açıklamalarda bulunduiki takımın iyi niyetli mücadele ettiğini ifade eden buruk uzun süredir oynamayan oyuncularım vardı dakika görmemiş oyuncularımız fazlaydı bugün geçen haftaki maça göre değişiklik yapmıştık iki takım pozisyonlar yakaladı kazandığımız mutluyuz tabii puana gelmek puan önümüzdeki hafta tekrar kazanıp puanı yakalayabiliriz bundan önce kırdığımız rekorlar vardı sene rekor kırmasak yine puan toplayan takımlar listesine tekrar galatasaray bir sezonu ekledi bizim önemli değerli konuştuizmirdeki sarıkırmızılı taraftarlara teşekkür eden buruk yarın yenikapıda bizim önemli bir organizasyon var herkesi oraya bekliyorum burada sezon başından itibaren zamana kadar galatasarayın haklarını korumaya çalıştım saha içerisi saha dışı anlamda bizim zor özel bir seneydi bunun altını çizmek gerekiyor bence sene zor özel senelerden biriydi bazen sadece sahanın içerisinde oynadığınız futbol yeterli kalmıyor açıklamasında bulundubu sezon hakkında konuşan buruk sene avrupada iyi işler yapabilirdik bizim önemli bir yara önümüzdeki sene şampiyonlar liginde olacağız şampiyonlar liginde inşallah ona uygun bir kadroyla birlikte yine türkiyeyi doğru bir şekilde temsil etmeye çalışacağız galatasarayın adını tekrar avrupada duyurmaya çalışacağız iyi başladığımız serüveni kötü bitirdik konuştuavrupada şanssiz puanlar kaybettikavrupa maçları hakkında buruk formda başladığımız iyi oyunlar oynadığımız serüveni tottenham maçını kazanan avrupa ligini kazanan takıma karşı kurduğumuz üstünlüğü oyun üstünlüğünü gördüğümüzde iyi başladık onun yanında puan kaybetmeyeceğimiz dediğimiz takımlara puanlar kaybettik devamında ilk e kalamayıp eleme turu oynayıp orada elendik buradan tabii dersler alıyoruz transferle ilgili dersler alıyoruz oyuncu yapısı kadro genişliği ilgili oyunculara hazırlama benim zor olan şeylerden türkiye liginde kazanmak zorundasınız burada fazla maç maç rotasyon yapamıyorsunuz puan kaybetmemek zorundasınız biraz bizi zorlaştırıyor işimizi zorlaştırıyor avrupadaki başarımızı biraz engelliyor son senelerde puan fazla yükseldi şeklinde konuştupuan kaybetmememiz gerekiyorşampiyon olan takımların puan bareminin yükseldiğini dile getiren buruk puan kaybetmememiz gerekiyor dediğim şampiyonlar ligi farklı olacak tabii ilk hedefiniz var e girip bir üst tura çıkma hedefimiz burada iki tane hedef olacak onun yanında dediğim ona uygun bir kadro kadro genişliği kadro rotasyonu önemli olacak sert maçlar yapacağız şampiyonlar liginde bir önceki diyorduk final oynamak istiyoruz şampiyonlar ligi anlamda direkt olarak final oynayacağız diyebileceğiniz bir organizasyon değil önemli takımlar var kimin yapacağı hiçbir zaman belli olmuyor burada hedefimiz gidebildiğimiz iyi yere kadar devam etmek olacak dedi
spor,Galatasaray otobüsüne taşlı saldırı,"https://www.ntv.com.tr/sporskor/galatasaray-otobusune-tasli-saldiri,ZtWdQfy2TkG9Jayv5vmQzw","TrendyolSüper Lig'in 37. haftasında şampiyonluğunu ilan edenGalatasaray,Göztepe'ye konuk oldu. Galatasaray mücadeleyi 2-0 tamamladı.Galatasaray'ın stadyum dışında bekleyen takım otobüsüne taşlı saldırı yapıldı.Saldırıda otobüsün camı kırıldı.",trendyolsüper ligin haftasında şampiyonluğunu ilan edengalatasaraygöztepeye konuk oldu galatasaray mücadeleyi tamamladıgalatasarayın stadyum dışında bekleyen takım otobüsüne taşlı saldırı yapıldısaldırıda otobüsün camı kırıldı
spor,"Belediyeler, Fenerbahçe Beko'nun finalini kamusal alanlarda yayınlayabilecek","https://www.ntv.com.tr/sporskor/belediyeler-fenerbahce-bekonun-finalini-kamusal-alanlarda-yayinlayabilecek,4PHDcrnMD0O6WyiLGasdEA","Saran Group Yönetim Kurulu Başkanı Sadettin Saran, S Sport kanalının yayıncısı olduğu THY EuroLeagueFinal Fourmaçlarının belediyeler tarafından kamusal alanlarda yayınlanabileceğini duyurdu.Fenerbahçe Kulübü eski yöneticisi Sadettin Saran, sosyal medya hesabından yayımladığı mesajda, oynanacak THY Final Four karşılaşmalarının frekans bilgilerini paylaşarak ""THY EuroLeague Final Four organizasyonun Türkiye'deki yayıncısı S Sport ve S Sport Plus'tır. Final Four karşılaşmaları, S Sport kanalı üzerinden Türksat uydusu aracılığıyla açık şekilde yayınlanmaktadır. Türkiye genelindeki tüm belediyeler, paylaşılan frekans üzerinden karşılaşmaları kamusal alanlarda yayınlayabilir. Tüm sporseverlere keyifli seyirler diler, dörtlü finalde finale kalma başarısı gösteren Fenerbahçe Beko'ya canı gönülden başarılar dileriz."" ifadelerine yer verdi.",saran group yönetim kurulu başkanı sadettin saran sport kanalının yayıncısı olduğu thy euroleaguefinal fourmaçlarının belediyeler tarafından kamusal alanlarda yayınlanabileceğini duyurdufenerbahçe kulübü eski yöneticisi sadettin saran sosyal medya hesabından yayımladığı mesajda oynanacak thy final four karşılaşmalarının frekans bilgilerini paylaşarak thy euroleague final four organizasyonun türkiyedeki yayıncısı sport sport plustır final four karşılaşmaları sport kanalı üzerinden türksat uydusu aracılığıyla açık şekilde yayınlanmaktadır türkiye genelindeki belediyeler paylaşılan frekans üzerinden karşılaşmaları kamusal alanlarda yayınlayabilir sporseverlere keyifli seyirler diler dörtlü finalde finale kalma başarısı gösteren fenerbahçe bekoya canı gönülden başarılar dileriz ifadelerine yer verdi
spor,"90+5'te gelen gol, Sunderland'i yıllar sonra Premier Lig'e taşıdı","https://www.ntv.com.tr/sporskor/905te-gelen-gol-sunderlandi-yillar-sonra-premier-lige-tasidi,Gr__g1_mLkeFyGdfuRF-Lw","Sunderland, Sheffield United'ı 2-1 yenerek İngiltere 1. Futbol Ligi'ne (Premier Lig) çıkmaya hak kazandı.Wembley Stadyumu'ndaki karşılaşmada İngiliz forvet Tyrese Campbell, 25. dakikada Sheffield'ı 1-0 öne geçirdi ve ilk yarı bu skorla tamamlandı.Genç İspanyol forvet Eliezer Mayenda, 76. dakikada Sunderland'e beraberliği getiren golü kaydetti.İngiliz kanat oyuncusu 18 yaşındaki Tom Watson'un 95. dakikada attığı golle Sunderland, karşılaşmayı 2-1 kazandı.İngiltere 2. Futbol Ligi (Championship) finalini geriden gelerek kazanan Sunderland, 2016–17 sezonundan sonra yine Premier Lig'e yükselmeyi başardı.",sunderland sheffield unitedı yenerek ingiltere futbol ligine premier lig çıkmaya hak kazandıwembley stadyumundaki karşılaşmada ingiliz forvet tyrese campbell dakikada sheffieldı öne geçirdi ilk yarı skorla tamamlandıgenç ispanyol forvet eliezer mayenda dakikada sunderlande beraberliği getiren golü kaydettiingiliz kanat oyuncusu yaşındaki tom watsonun dakikada attığı golle sunderland karşılaşmayı kazandıingiltere futbol ligi championship finalini geriden gelerek kazanan sunderland sezonundan sonra yine premier lige yükselmeyi başardı
spor,EuroLeague'de tarih yazılacak: Ya Jasikevicius ya Spanoulis,"https://www.ntv.com.tr/sporskor/euroleaguede-tarih-yazilacak-ya-jasikevicius-ya-spanoulis,7gSJSH8TRUuvxsy7NJEGZA","THY EuroLeague'de 25 Mayıs Pazar günü finalde karşı karşıya gelecek Fenerbahçe Beko ve Monaco'nun başantrenörleri Saras Jasikevicius ile Vassilis Spanoulis, 25 yıllık modern lig tarihinde hem oyuncu hem de başantrenör olarak kupayı kazanan ilk isim olmaya çalışacak.Birleşik Arap Emirlikleri'nin başkenti Abu Dabi'de gerçekleşen Final Four organizasyonun finalinde yarın Etihad Arena'da Fenerbahçe Beko ile Monaco karşılaşacak.Oyunculuk dönemlerinde Avrupa basketbolunun efsaneleri olan Saras Jasikevicius ile Vassilis Spanoulis, başantrenör olarak ilk zaferlerini yaşamak için parkeye çıkacak. 2001 yılından itibaren tek çatı altında oynanan ve 25 yılını kutlayan EuroLeague'de hem oyuncu hem de başantrenör olarak kupa kazanan bir isim bulunmuyor. Çeyrek asırlık organizasyon tarihinde Jasikevicius ya da Spanoulis, yarın akşam tarihe geçecek.JASIKEVICIUS'UN 2. FİNALİAktif sporculuk hayatında Avrupa'nın en iyi oyun kurucularından biri olarak gösterilen Jasikevicius, 4 kez şampiyonluk yaşadı.Maccabi'yle 2 (2004, 2005), Barcelona (2003) ve Panathinaiksos'la (2009) ise birer kez EuroLeague'i kazanma başarısı gösteren Litvanyalı isim, başantrenör olarak ise 2021'de Barcelona'yla çıktığı finali Anadolu Efes'e kaybetmişti.Başantrenörlük kariyerinde 9 yılda 15 kupa kazanan Jasikevicius'un Avrupa'da ise kupası yok. Fenerbahçe Beko yarın finalde galip gelirse Jasikevicius'un hem Avrupa'da ilk kupası olacak hem de bu organizasyonu oyuncu ve başantrenör olarak kazanan isim olarak tarihe geçecek.SPANOULIS'TEN BÜYÜK BAŞARIBaşantrenörlük kariyerinin henüz 4. yılında olan Yunanbasketboladamı Vassilis Spanoulis, ilk kez finalde saha kenarında yer alacak.İlk Final Four tecrübesini yaşayan Spanoulis, yarı finalde efsanesi olduğu Olympiakos'u takımı Monaco'yla geçti.Oyunculuk döneminde Avrupa'nın en iyi oyun kurucularından biri olan Spanoulis, 3 kez kupa sevinci yaşadı. Spanoulis, 2009'da Panathinaikos, 2012 ve 2013'te Olympiakos'la şampiyon oldu.BİRLİKTE KUPA KALDIRDILARJasikevicius ve Spanoulis, oyunculuk dönemlerinde birlikte EuroLeague kupası kaldırdı.Panathinaikos'un 2009'da başantrenör Zeljko Obradovic'le yaşadığı şampiyonluğun kahramanları Jasikevicius ve Spanoulis'ti.Oyunculuk dönemlerinde birlikte kupayı kazanan bu iki isim, 16 yıl sonra bu sefer ise başantrenör olarak tarihe geçmek için rakip olacak.",thy euroleaguede mayıs pazar günü finalde karşı karşıya gelecek fenerbahçe beko monaconun başantrenörleri saras jasikevicius vassilis spanoulis yıllık modern lig tarihinde oyuncu başantrenör olarak kupayı kazanan ilk isim olmaya çalışacakbirleşik arap emirliklerinin başkenti abu dabide gerçekleşen final four organizasyonun finalinde yarın etihad arenada fenerbahçe beko monaco karşılaşacakoyunculuk dönemlerinde avrupa basketbolunun efsaneleri olan saras jasikevicius vassilis spanoulis başantrenör olarak ilk zaferlerini yaşamak parkeye çıkacak yılından itibaren tek çatı altında oynanan yılını kutlayan euroleaguede oyuncu başantrenör olarak kupa kazanan bir isim bulunmuyor çeyrek asırlık organizasyon tarihinde jasikevicius spanoulis yarın akşam tarihe geçecekjasikeviciusun finaliaktif sporculuk hayatında avrupanın iyi oyun kurucularından olarak gösterilen jasikevicius şampiyonluk yaşadımaccabiyle barcelona panathinaiksosla birer euroleaguei kazanma başarısı gösteren litvanyalı isim başantrenör olarak barcelonayla çıktığı finali anadolu efese kaybetmiştibaşantrenörlük kariyerinde yılda kupa kazanan jasikeviciusun avrupada kupası yok fenerbahçe beko yarın finalde galip gelirse jasikeviciusun avrupada ilk kupası olacak organizasyonu oyuncu başantrenör olarak kazanan isim olarak tarihe geçecekspanoulisten büyük başaribaşantrenörlük kariyerinin henüz yılında olan yunanbasketboladamı vassilis spanoulis ilk finalde saha kenarında yer alacakilk final four tecrübesini yaşayan spanoulis yarı finalde efsanesi olduğu olympiakosu takımı monacoyla geçtioyunculuk döneminde avrupanın iyi oyun kurucularından olan spanoulis kupa sevinci yaşadı spanoulis panathinaikos te olympiakosla şampiyon oldubirlikte kupa kaldirdilarjasikevicius spanoulis oyunculuk dönemlerinde birlikte euroleague kupası kaldırdıpanathinaikosun başantrenör zeljko obradovicle yaşadığı şampiyonluğun kahramanları jasikevicius spanoulistioyunculuk dönemlerinde birlikte kupayı kazanan iki isim yıl sonra sefer başantrenör olarak tarihe geçmek rakip olacak
spor,"NBA'de gecenin raporu: Indiana Pacers, Knicks karşısında 2-0 öne geçti","https://www.ntv.com.tr/sporskor/nbade-gecenin-raporu-indiana-pacers-knicks-karsisinda-2-0-one-gecti,ZDEvp5o1KkemQwSLRV1Enw","NBADoğu Konferansı finalinde; New York Knicks'i deplasmanda 114-109 yenen Indiana Pacers, seride 2-0 öne geçti.New York'taki Madison Square Garden'da oynanan müsabakada konuk ekip Pacers'ta Pascal Siakam, 39 sayı ile maçın en skorer oyuncusu olurken Tyrese Haliburton ise 14 sayı, 11 asist, 8 ribaunt ile galibiyete katkı verdi.Jalen Brunson'ın 36 sayısı ev sahibi Knicks adına galibiyet için yeterli olmadı.Knicks, bu sonuçla, konferans finalinde evinde oynadığı ilk iki maçı kaybederken Pacers, deplasmanda aldığı bu iki galibiyetle seriyi kazanmak adına büyük bir avantaj elde etti.",nbadoğu konferansı finalinde new york knicksi deplasmanda yenen indiana pacers seride öne geçtinew yorktaki madison square gardenda oynanan müsabakada konuk ekip pacersta pascal siakam sayı maçın skorer oyuncusu olurken tyrese haliburton sayı asist ribaunt galibiyete katkı verdijalen brunsonın sayısı ev sahibi knicks adına galibiyet yeterli olmadıknicks sonuçla konferans finalinde evinde oynadığı ilk iki maçı kaybederken pacers deplasmanda aldığı iki galibiyetle seriyi kazanmak adına büyük bir avantaj elde etti
spor,Şampiyonluk kutlamalarında korkutan olay: Kıvılcımlar içinde kaldılar,"https://www.ntv.com.tr/sporskor/sampiyonluk-kutlamalarindakorkutan-olay-kivilcimlar-icinde-kaldilar,nRYd6yw-I0yFF07ohHcETQ","Eskişehirspor'un 'Şampiyonluk Gecesi' kutlamaları büyük coşkuyla devam etti.Ünlü sanatçılar sahneye çıkmaya devam ederken, Hande Ünsal'ın konseri sırasında ilginç bir olay yaşandı.Eskişehir Yeni Atatürk Stadyumu'nun tepesinden taraftarın oturduğu bölgeye doğru kıvılcımlar saçan havai fişekler yakıldı.Bu esnada taraftarın yaşadığı zor anlar objektiflere yansıdı. Tribünlerdeki vatandaşlar yaşanan olaya ıslıklarla tepki gösterdi.",eskişehirsporun şampiyonluk gecesi kutlamaları büyük coşkuyla devam ettiünlü sanatçılar sahneye çıkmaya devam ederken hande ünsalın konseri sırasında ilginç bir olay yaşandıeskişehir yeni atatürk stadyumunun tepesinden taraftarın oturduğu bölgeye doğru kıvılcımlar saçan havai fişekler yakıldıbu esnada taraftarın yaşadığı zor anlar objektiflere yansıdı tribünlerdeki vatandaşlar yaşanan olaya ıslıklarla tepki gösterdi
spor,İtalya Ligi'nde şampiyon Napoli,"https://www.ntv.com.tr/sporskor/italya-liginde-sampiyon-napoli,2Y8VJhFXU0y4D_mpyLtlIQ","İtalyaSeire A Ligi'nin son hafta açılış maçlarında Napoli sahasında Cagliari'yi ağırlarken, en yakın rakibi Inter ise Como'ya konuk oldu. Napoli, 42'nci dakikada McTominay, 51'inci dakikada Lukaku'nun golleriyle mutlu sona ulaştı.Deplasmanda Como'yu 20'nci dakikada de Vrij ve 51'inci dakikada Correa'nın golleriyle 2-0 mağlup eden Inter ise sezonu ikinci sırada tamamladı. De Vrij'in attığı golde Milli futbolcu Hakan Çalhanoğlu asisti yapan isim oldu.Hakan Çalhanoğlu'nun formasını giydiği Inter, 31 Mayıs Cumartesi günü saat 22.00'de UEFA Şampiyonlar Ligi final karşılaşmasında Allianz Arena'da Fransız ekibi Paris Saint-Germain ile karşı karşıya gelecek.NAPOLİ'NİN 4'ÜNCÜ ŞAMPİYONLUĞUSezonu 82 puanla zirvede tamamlayan Napoli, tarihindeki 4'üncü lig şampiyonluğuna ulaştı. Daha önce 1986/87, 1989/90 ve 2022/23 yıllarında şampiyon olan Napoli, Antonio Conte önderliğinde 4'üncü kez Seire A kupasını müzesine götürdü.",italyaseire liginin son hafta açılış maçlarında napoli sahasında cagliariyi ağırlarken yakın rakibi inter comoya konuk oldu napoli nci dakikada mctominay inci dakikada lukakunun golleriyle mutlu sona ulaştıdeplasmanda comoyu nci dakikada vrij inci dakikada correanın golleriyle mağlup eden inter sezonu ikinci sırada tamamladı vrijin attığı golde milli futbolcu hakan çalhanoğlu asisti yapan isim olduhakan çalhanoğlunun formasını giydiği inter mayıs cumartesi günü saat uefa şampiyonlar ligi final karşılaşmasında allianz arenada fransız ekibi paris saintgermain karşı karşıya geleceknapolinin üncü şampiyonluğusezonu puanla zirvede tamamlayan napoli tarihindeki üncü lig şampiyonluğuna ulaştı önce yıllarında şampiyon olan napoli antonio conte önderliğinde üncü seire kupasını müzesine götürdü
