kategori,baslik,link,icerik
spor,Real Madrid'de Carlo Ancelotti ile yollar ayrıldı!,https://www.haberturk.com/real-madrid-de-carlo-ancelotti-ile-yollar-ayrildi-3793418-spor,"İspanya La Liga temsilcisi Real Madrid'de beklenen ayrılık gerçekleşti. Real Madrid, teknik direktör Carlo Ancelotti ile karşılıklı anlaşma sonucunda yolların ayrıldığını açıkladı. Brezilya Milli Takımı, teknik direktörlük görevi için İtalyan çalıştırıcı Carlo Ancelotti ile anlaşma sağlamıştı. Brezilya Futbol Federasyonundan yapılan açıklamada, Brezilya'yı 2026 Dünya Kupası'na kadar yönetecek olan Ancelotti'nin, gelecek ay Ekvador ve Paraguay'a karşı oynanacak Güney Amerika Futbol Konfederasyonu (CONMEBOL) Dünya Kupası Elemeleri maçlarında milli takımın başında olacağı belirtildi. Konuyla ilgili açıklamada bulunan Brezilya Futbol Federasyonu Başkanı Ednaldo Rodrigues, ""Ancelotti'yi Brezilya'nın başına getirmek, yalnızca stratejik bir hamle değil. Bu adımla, podyumun en üst basamağını geri almaya kararlı olduğumuzu tüm dünyaya ilan etmek istiyoruz. O, futbol tarihinin en büyük teknik direktörlerinden biri ve artık gezegenin en iyi milli takımına liderlik edecek. Onunla birlikte Brezilya futbolu için yeni ve görkemli bir dönemi başlatacağız."" şeklinde konuştu."
spor,Demir Ege'ye Fransa'dan talip!,https://www.haberturk.com/demir-ege-ye-fransa-dan-talip-3793415-spor,"Beşiktaş'ın yaz transfer döneminde Portekiz ekibi Rio Ave'ye satın alma opsiyonu ile kiraladığı Demir Ege Tıknaz'ın talipleri artmaya devam ediyor. Portekiz basınından A Bola'da yer alan habere göre, Fransa'dan Lille, 20 yaşındaki genç orta saha oyuncusu ile ilgileniyor."
spor,Formula 1'de sıradaki durak Monako!,https://www.haberturk.com/formula-1-de-siradaki-durak-monako-3793386-spor,"2025 Formula 1 Dünya Şampiyonası'nda heyecan, sezonun sekizinci etabı Monako Grand Prix'siyle devam edecek. Circuit de Monaco olarak da bilinen 3,3 kilometrelik Monte Carlo Pisti'nde yapılacak yarış, 78 tur üzerinden düzenlenecek. Sıralama turları yarın TSİ 17.00, yarış ise 25 Mayıs Pazar günü TSİ 16.00'da başlayacak."
spor,"Galatasaray'da yeni dönem: İmzalar, vedalar ve beklentiler!",https://www.haberturk.com/galatasaray-da-yeni-donem-imzalar-vedalar-ve-beklentiler-3793378-spor,"2024-2025 sezonunun 36'ncı haftasında şampiyonluğunu ilan eden Galatasaray’da transfer çalışmaları hız kazandı. Sarı-kırmızılı ekipte kadro planlamasında dikkat çeken gelişmeler yaşanıyor. Demirören Haber Ajansı'nın (DHA) ulaştığı bilgilere göre öne çıkan başlıklar şu şekilde; Galatasaray, genç futbolcusuyla 4 yıllık yeni sözleşme için anlaşma sağladı. Yıllık 2,3 milyon euro kazanması beklenen Yunus’un birkaç gün içinde resmi imzayı atacağı öğrenildi. Sarı-kırmızılı kulüp, başarılı oyuncusu için 35 milyon euro talep ediyor. Devre arasında Premier Lig’den gelen 17 milyon euro’luk teklif geri çevrilmişti. Transferin yakın zamanda sonuçlanması bekleniyor. Galatasaray'ın yıldız golcüsü Victor Osimhen'in Arap Yarımadası’ndan yaklaşık 40 milyon euro maaş teklifi aldığı belirtiliyor. Galatasaray da oyuncuya resmi teklif yaptı ancak transferin gerçekleşmesi beklenmiyor. Juventus, Osimhen'in peşini bırakmazken Fenerbahçe genç oyuncu için nabız yokladı. Geçtiğimiz sezonu ACF Fiorentina'da kiralık geçiren İtalyan oyuncu, Galatasaray’a dönecek. Ancak kulübün planı, Zaniolo’yu yeniden kiralık olarak göndermek yönünde. Galatasaray’ın iki önemli ismi, Fernando Muslera ve Dries Mertens için Başakşehir maçı sonrası özel bir veda töreni düzenlenecek. Her iki futbolcu da eşyalarını toplayarak ülkelerine dönecek. Muslera Uruguay'da 1 yıl daha futbol oynayacak. Ardından ülkesinde satın aldığı kulüp ile yakından ilgilenecek. Galatasaray ile bağlarını koparmayacak ve Sarı-kırmızılı kulübe genç futbolcular önerecek."
spor,Hedef Euroleague şampiyonluğu: Fenerbahçe final için parkede!,https://www.haberturk.com/hedef-euroleague-sampiyonlugu-fenerbahce-final-icin-parkede-3793362-spor,"Euroleague'de final four bugün Birleşik Arap Emirlikleri'nin başkenti Abu Dabi'de başlayacak. Etihad Arena'da gerçekleştirilecek Dörtlü Final'in ilk maçında Türkiye'yi temsil eden Fenerbahçe Beko ile Yunanistan ekibi Panathinaikos AKTOR, TSİ 18.00'de karşılaşacak. Mücadele S Sport, EXXEN ve Tivibu platformlarından canlı yayınlanacak. Günün ikinci maçında ise Yunan ekibi Olympiakos ile Fransa'yı temsil eden Monaco, TSİ 21.00'de parkeye çıkacak. Avrupa Ligi Dörtlü Finali, ilk kez Avrupa dışında düzenlenecek."
spor,"NBA konferans finalinde Timberwolves'u yenen Thunder, seride 2-0 öne geçti",https://www.haberturk.com/nba-konferans-finalinde-timberwolves-u-yenen-thunder-seride-2-0-one-gecti-3793352-spor,"Amerikan Basketbol Ligi (NBA) Batı Konferansı finalinde Minnesota Timberwolves'u 118-103 yenen Oklahoma City Thunder, seride 2-0 öne geçti."
spor,"Galatasaray'dan Şampiyonlar Ligi için dev transfer operasyonu: Leroy Sane, Inaki Williams!",https://www.haberturk.com/galatasaray-dan-sampiyonlar-ligi-icin-dev-transfer-operasyonu-leroy-sane-inaki-williams-3793341-spor,"Trendyol Süper Lig'de sezonu şampiyon olarak tamamlayan Galatasaray, yeni sezonda hem ligde unvanını korumak hem de UEFA Şampiyonlar Ligi'nde ses getirecek bir performans sergilemek için transfer çalışmalarına hız verdi. Sarı-kırmızılı yönetim, teknik direktör Okan Buruk'un raporu doğrultusunda kadrosunu güçlendirmek için kolları sıvadı. Öncelikli hedeflerden biri ise kanat hattına üst düzey bir takviye yapmak. Bu doğrultuda gündeme gelen ilk isim, Almanya Bundesliga devi Bayern Münih’in yıldız futbolcusu Leroy Sane oldu. Yönetim, yıldız futbolcunun Şampiyonlar Ligi arenasında Galatasaray formasıyla boy göstermesi için tüm imkanlarını seferber etmeye hazır. Galatasaray’ın transfer listesinde yer alan bir diğer önemli isim ise La Liga ekiplerinden Athletic Bilbao'nun tecrübeli oyuncusu Inaki Williams. İspanya doğumlu Gana Milli Takımı oyuncusu, kulübünün altyapısından yetişip uzun yıllardır A takımda forma giyiyor.  Geride kalan sezonda çıktığı 49 resmi maçta 11 gol ve 9 asistlik katkı sağlayan 30 yaşındaki futbolcu, hem hızı hem de istikrarlı performansıyla dikkat çekiyor. Ancak bu transferin önünde bazı engeller bulunuyor. Galatasaray cephesi şu ana kadar Williams için resmi bir girişimde bulunmazken, Athletic Bilbao’nun oyuncu için yüksek bir bonservis bedeli talep ettiği ifade ediliyor. Inaki Williams’ın kulübüyle olan sözleşmesi 2028 yılına kadar devam ediyor. Bu da olası bir transferde pazarlık sürecinin zorlu geçeceğine işaret ediyor."
spor,Konyaspor Kulübü Yüksek Divan Kurulu Toplantısı yapıldı,https://www.haberturk.com/konyaspor-kulubu-yuksek-divan-kurulu-toplantisi-yapildi-3793296-spor,"Konyaspor Kulübü Başkanı Ömer Korkmaz, ""Bir başkan adayı çıksın, yönetim kurulu oluştursun. Onlar da Konyaspor'a yöneticilik yapsın. Şu anda kulübün başka bir alternatifi görünmüyor."" dedi. Korkmaz, MEDAŞ Konya Büyükşehir Stadyumu Basın Toplantı Salonu'nda gerçekleştirilen 3. Yüksek Divan Kurulu Toplantısı'nda yaptığı konuşmada, kulübün ekonomik yapısının her geçen gün bozulmaya devam ettiğini söyledi."
spor,Zenit'in Gedson Fernandes ısrarı: Teklif yapacaklar!,https://www.haberturk.com/zenit-in-gedson-fernandes-israri-3793256-spor,"Beşiktaş forması giyen Gedson Fernandes, Rus temsilcisi Zenit'in gündeminden düşmüyor. Sport Express'te yer alan habere göre, Zenit'in Gedson Fernandes'e ilgisi devam ediyor. Zenit'in, 26 yaşındaki futbolcunun transferi için yaz aylarında yeniden girişimlere başlayabileceği belirtildi. Beşiktaş forması altında bu sezon 47 maçta sahaya çıkan Portekizli orta saha oyuncusu, 11 gol attı ve 2 asist yaptı. Güncel piyasa değeri 18 milyon Euro olarak gösterilen Gedson'un kulübü Beşiktaş ile sözleşmesi 2027 yılına kadar devam ediyor."
spor,Galatasaray'dan sağ bek harekatı: Davide Calabria!,https://www.haberturk.com/galatasaray-dan-sag-bek-harekati-davide-calabria-3793065-spor,"Ziraat Türkiye Kupası ve Trendyol Süper Lig'de şampiyonluğa ulaşan Galatasaray, bir yandan transfer çalışmalarını da sürdürüyor. Sarı-kırmızılıların kanayan yarası sağ bek bölgesinde bir türlü oyuncu istikrarı sağlanamazken, öncelik yine buraya verildi. Geçtiğimiz yaz Kopenhag'dan Elias Jelert transfer edilirken, 21 yaşındaki isme 9 milyon Euro bonservis bedeli ödendi. Danimarkalı sağ bek, bu bölgede tutunamazken Kaan Ayhan, Roland Sallai ve Barış Alper Yılmaz gibi isimlerin de gerisinde kaldı. Devre arasında bu bölgeyi yine güçlendiren Aslan, Lens'ten satın alma opsiyonuyla Przemyslaw Frankowski'yi kiraladı. Polonyalı sağ bek de inişli çıkışlı performansı nedeniyle tercih edilmedi ve Trabzonspor ile Kayserispor maçlarında Roland Sallai bu bölgede formayı giydi. İspanyol basını, Galatasaray'ın bu bölge için yine arayışta olduğunu ve rotasının İtalya olduğunu öne sürdü. G.SARAY'DAN CALABRIA ATAĞI! Relevo'nun haberine göre; geçtiğimiz dönemlerde de sarı-kırmızılıların gündemine gelen Davide Calabria için yeniden atağa geçildi. Sezonun ilk yarısını Milan'da geçiren İtalyan sağ bek, ikinci yarısını ise Bologna'da kiralık olarak tamamladı. Bu sezon toplam 26 maça çıkan Calabria, 1 gol - 1 asistlik performans sergiledi. Güncel piyasa değeri 7.5 milyon Euro olarak gözüken 28 yaşındaki futbolcunun sözleşmesi sezon sonunda bitecek."
