kategori,baslik,link,icerik
spor,"MHP Genel Başkanı Bahçeli, Galatasaray’ın şampiyonluğunu tebrik etti",https://www.trthaber.com/haber/spor/mhp-genel-baskani-bahceli-galatasarayin-sampiyonlugunu-tebrik-etti-907781.html,"Bahçeli, Trendyol Süper Lig'de 2024-2025 sezonunda şampiyon olanGalatasarayiçin bir tebrik mesajı yayınladı. Bahçeli, tebrik mesajında şu ifadelere yer verdi: ""2024-2025 Trendyol Süper Ligin 36.haftasında 25’inci defa şampiyonluğa ulaşan Galatasaray Futbol Kulübünü, yeşil sahada ter döken futbolcuları, teknik kadroyu, elbette coşku ve heyecan içinde takımlarını kesintisiz şekilde destekleyen taraftarları gönülden kutluyorum. Şampiyon Galatasaray’a Şampiyonlar Liginde başarılar diliyorum""."
spor,Cumhurbaşkanlığı 6. Uluslararası Yat Yarışları'nın ikinci ayağı İstanbul Boğazı'nda yapıldı,https://www.trthaber.com/haber/spor/cumhurbaskanligi-6-uluslararasi-yat-yarislarinin-ikinci-ayagi-istanbul-bogazinda-yapildi-907722.html,"CumhurbaşkanlığıhimayelerindeKültür ve Turizm Bakanlığıile Gençlik ve Spor Bakanlığı,SamsunValiliği ve Samsun Büyükşehir Belediyesi katkılarıyla TGA iş birliğindeİstanbulAçık Deniz Yat Yarış Kulübü tarafından organize edilen ve DHL Express ana sponsorluğunda düzenlenen Cumhurbaşkanlığı 6. Uluslararası Yat Yarışları Kurtuluş Kupası'nın İstanbul etabında renkli görüntüler yaşandı. Dolmabahçe Sarayıönünde Ulu Önder Mustafa Kemal Atatürk'e saygı duruşuyla başlayan organizasyonda yaklaşık 300 yelkenci, Beşiktaş-Beykoz arasındaki parkurda şiddetli akıntıya karşı yarıştı. Cumhurbaşkanlığı Uluslararası Yat Yarışı Komite Başkanı ve İstanbul Açık Deniz Yat Yarış Kulübü Başkanı Ekrem Yemlihaoğlu, Kurtuluş Kupası'nın ikinci etabını 19 Mayıs'ta İstanbul'da düzenlemekten büyük mutluluk duyduklarını belirterek, ""Samsun'a giden ekipler, Bandırma Vapuru'nun rotasında Samsun'a ulaştı. İstanbul'da da Ata'ya saygı duruşuyla başladığımız bu yarış bizi çok gururlandırdı. Her yıl yarışlarımıza daha büyük katılım gerçekleşiyor. Bu büyük mücadelelere katılan tüm ekiplerimizi kutluyorum."" ifadelerini kullandı."
spor,Engellilere umut olan engelli basketbolcu: Oğuzhan Özdemir,https://www.trthaber.com/haber/spor/engellilere-umut-olan-engelli-basketbolcu-oguzhan-ozdemir-907442.html,"Ortopedik engelli olan Oğuzhan Özdemir, çocuk felci nedeniyle iki buçuk yaşından beri uzun bacak yürüme cihazı kullanıyor. Hayat boyu birçok sorunla mücadele eden Özdemir, engellerine rağmen asla pes etmedi. 1989-90 yıllarında arkadaşlarıyla birlikte kurduğubasketboltakımıyla başlayan spor serüveni, onu milli takıma kadar taşıdı. Tüm zorluklara rağmen parkelerde Türkiye’yi temsil eden Oğuzhan Özdemir, bugün ise başka bir mücadele alanında engelli bireylere umut oluyor. Memuriyettenemekliolduktan sonra hiç bilmediği bir işe yönelen Özdemir, “Bir arkadaş tamir işi var dedi. Sen de sök takı seviyorsun. Ben dükkânı komple devraldım. Hiçbir şey bilmeden. Hiç bilmediğim bir sektöre girdim. Azmettik, başardık. Şimdi Türkiye’de tekerlekli sandalye üzerine hurda bir sandalyeyi, sıfır olarak ben o sandalyeyi size yeniden yaratabilirim” diyor. İhtiyaç sahiplerine ulaşan bu sandalyeler, birçok engellinin yaşamına dokunurken, başkalarının hayatına az da olsa pozitif bir etkide bulunmanın kendisini çok pozitif etkilediğini belirtiyor. “Neticede ihtiyaç sahibi hepsi ve bunu birisinin bir şekilde yapması lazım. Biz de elimizden geldiğince yardımcı olmaya çalışıyoruz. Ne kadar olursak o kadar elimizden geleni yapmaya çalışıyoruz.” Toplumun engellilere yeterince hassasiyet göstermediğine dikkat çeken Özdemir, karşılaştıkları fiziksel engellerin çoğunun aslında diğer insanlar tarafından yaratıldığını söylüyor.Engellilerin trafikten kaldırımlara, günlük hayattan toplu taşımaya birçok alanda büyük zorluklarla karşılaştığına dikkat çekiyor. Bütün bu olumsuzluklara rağmen kendisinin ve diğer engelli bireylerin asla geri adım atmamaları gerektiğini belirten Oğuzhan Özdemir; “Arkadaşların azimli olmasını isterim. Hayata küsmemeleri lazım. Bizim kesinlikle azmi elimizden bırakmamamız lazım. Bırakırsak her şeyimiz gider”."
spor,Ziraat Türkiye Kupası'nın sahibi Galatasaray oldu,https://www.trthaber.com/haber/spor/ziraat-turkiye-kupasinin-sahibi-galatasaray-oldu-907243.html,"Ziraat Türkiye Kupası final maçında Trabzonspor ile Galatasaray, Gaziantep Büyükşehir Stadyumu'nda karşı karşıya geldi. İki takım taraftarlarının yoğun ilgi gösterdiği, Gençlik ve Spor Bakanı Osman Aşkın Bak, Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Türkiye Futbol Federasyonu Başkanı İbrahim Hacıosmanoğlu’nun da izlediği karşılaşmada Trabzonspor’u 3-0 mağlup eden Galatasaray, Ziraat Türkiye Kupası’nın sahibi oldu. 2’nci dakikada Eren Elmalı’nın ceza alanına gönderdiği ve Osimhen’i geçen topla buluşan Yunus Akgün’ün plase vuruşu üstten auta gitti. 5’inci dakikada Zubkov’un kaptırdığı pozisyonda Yunus Akgün’ün sağ çaprazdan ceza sahasına aktardığı topla buluşan Barış Alper Yılmaz’ın vuruşu ağlara gitti: 0-1. 12’nci dakikada Nwakaeme sol kanattan rakiplerini çalımlayarak girdiği ceza alanında yerden pasıyla topla buluşan Zubkov’un vuruşunda meşin yuvarlak yandan auta gitti. 25’inci dakikada Malheiro’nun sağ kanattan ceza alanına ortasına iyi yükselen Ozan Tufan’ın kafa vuruşu üstten auta gitti. 31’inci dakikada Banza, savunmadan kaptığı topu Ozan Tufan’a aktardı. Bu oyuncunun vuruşu kaleciden döndü. 41’inci dakikada Barış Alper Yılmaz’ın sağ kanattan ceza alanına ortasında Osimhen’in penaltı noktasından yaptığı röveşata vuruşta top üstten auta gitti. 46’ncı dakikada ani gelişen Galatasaray atağında ceza alanına gönderilen topla buluşan Osimhen, rakip savunma oyuncusunu geçtikten sonra plase vuruşunda meşin yuvarlağı ağlara yolladı: 0-2. 63’üncü dakikada Yunus Akgün’ün sağdan ceza alanına pasıyla buluşan Osmihen’in bekletmeden vuruşu ağlara gitti: 0-3. Karşılaşmada başka pozisyon olmayınca Galatasaray sahadan 3-0’lık skorla galip ayrıldı ve kupanın sahibi oldu. Kupanın finalinde Trabzonspor'u 3-0 yenen sarı-kırmızılı ekip, tarihinde 19. kez kupayı müzesine götürdü. Trabzonspor ise 17. kez mücadele ettiği finalde 8. kez kaybetti Türkiye Futbol Federasyonu tarafından 1962-1963'ten itibaren düzenlenen Türkiye Kupası, 1980-1981 sezonu itibarıyla Federasyon Kupası adı altında oynanmaya başladı.Organizasyonun adı 1992-1993 sezonundan itibaren yeniden Türkiye Kupası olarak değiştirildi. Bu sezon 63. kez organize edilen Türkiye Kupası'nın final maçı Gaziantep Stadı'nda yapıldı. Müsabakayı Barış Alper Yılmaz ve Victor Osimhen'in (2) golleriyle 3-0 kazanan sarı-kırmızılı ekip, kupayı müzesine götürdü. Gaziantep Stadı'nda Trabzonspor ile Galatasaray arasında yapılan final maçının ardından kupa töreni düzenlendi. Sarı-kırmızılı ekibin 3-0 kazandığı final maçının ardından saha ortasına platform kuruldu. Şampiyon olan Galatasaray Futbol Takımı'nın teknik heyeti ve oyuncularına madalyalarını Gençlik ve Spor Bakanı Osman Aşkın Bak ile Türkiye Futbol Federasyonu (TFF) Başkanı İbrahim Hacıosmanoğlu taktı. Bu sırada platformda bulunan ve Ziraat Bankası Genel Müdürü Alpaslan Çakar ile Galatasaray Kulübü Başkanı Dursun Özbek, şampiyon takımı tebrik etti. Şampiyonluk kupasını ise TFF Başkanı Hacıosmanoğlu, takım kaptanı Fernando Muslera'ya verdi. Uruguaylı file bekçisi, kupayı aldıktan sonra takım arkadaşlarının önüne giderek coşkuyla havaya kaldırdı. Daha sonra sarı-kırmızılı futbolcular tek tek kupayı kaldırarak coşkuyla kutlama yaptı. Futbolcular, podyumdaki kutlamaların ardından kupayla taraftarlarının bulunduğu tribünleri dolaştı. Öte yandan Türkiye Kupası'nı ikinci tamamlayan bordo-mavili takımın teknik heyeti ve futbolcuları seremoniye katılmadı. Türkiye Kupası'nı en çok kazanan takım olan sarı-kırmızılı ekip, 19. kez zafere ulaştı. Türkiye'nin en önemli ikinci ulusal futbol turnuvasında 24. kez final oynama başarısı gösteren Galatasaray, 19. kez kupayı kaldırdı. Kupayı en çok kazanan takım olan Galatasaray, organizasyonun ilk 4 senesinde de kupayı kimseye kaptırmayarak bu alanda da rekora sahip. Sarı-kırmızılı ekip, organizasyonun ilk kez düzenlendiği 1962-1963 sezonu ile 1963-1964, 1964-1965, 1965-1966, 1972-1973, 1975-1976, 1981-1982, 1984-1985, 1990-1991, 1992-1993, 1995-1996, 1998-1999, 1999-2000, 2004-2005, 2013-2014, 2014-2015, 2015-2016 ve 2018-2019'un ardından bu sezon da kupanın sahibi oldu. Trabzonspor, daha önce 17 kez final oynadığı Türkiye Kupası'nda 8. kez hüsrana uğradı. Bordo-mavili takım, kupada 1976-1977, 1977-1978, 1983-1984, 1991-1992, 1994-1995, 2002-2003, 2003-2004, 2009-2010 ve 2019-2020 sezonlarında mutlu sona ulaştı. Trabzonspor, 1974-1975, 1975-1976, 1984-1985, 1989-1990, 1996-1997, 2012-2013 ve 2023-2024'ün ardından bu sezon da sahadan mutsuz ayrıldı."
spor,"""Yaklaşık 862 yurdumuzda gençlerimize barınma hizmeti sağlıyoruz""",https://www.trthaber.com/haber/spor/bakan-bak-yaklasik-862-yurdumuzda-genclerimize-barinma-hizmeti-sagliyoruz-907221.html,"Bakan Bak,Recep Tayyip ErdoğanÜniversitesi Kongre ve Kültür Merkezi'nde düzenlenen ""Spor Dostu Kampüs"" sertifika takdim töreninde yaptığı konuşmada, üniversitelerin hareketlenmesi veenerjidolu olmasının kendilerini gururlandırdığını söyledi. Sporun iyileştirici ve birleştirici gücüne değinen Bak, akademisyenlerin ders verdikleri öğrencilerle birlikte çeşitli spor aktiviteleri yapmalarının, gençliğin dinamizmini yakalama açısından önemli olduğunu vurguladı. Bak,Gençlik ve Spor Bakanlığıolarak, Cumhurbaşkanı Recep Tayyip Erdoğan öncülüğünde, devrim niteliğinde yatırımlar gerçekleştirdiklerine işaret ederek, ""Türkiye çapında yaptığımız stadyumlar, kapalı spor salonları, yüzme havuzları ve bunun paralelindeki pistlerle beraber inanılmaz bir tesis devrimi var. Bu tesislerin çerçevesinde de Türkiye'de spor lisans sayısı artışı, uluslararası organizasyonlardaki katılımlar ve başarılar, bunlar çok çok kıymetli."" ifadesini kullandı. Türkiye'deki federasyonların uluslararası organizasyonları başarıyla gerçekleştirdiğini dile getiren Bak, şöyle devam etti: ""2032 Avrupa Futbol Şampiyonası'nıİtalyaile beraber biz organize edeceğiz.Şampiyonlar Ligifinali organize ettik. Yine önümüzdeki yılUEFALigi finali İstanbul'da olacak. 2027 Konferans Ligi finali Türkiye'de olacak. Pek çok uluslararası organizasyonunun katılımı Türkiye'de gerçekleşecek. Türkiye bu yönüyle inanılmaz bir sıçrama içerisinde. Üniversitelerimizin de buna eşlik etmesini istiyoruz. Biz de Gençlik ve Spor Bakanlığı olarak üniversitelerin içerisindeyiz. Üniversitede genç ofisimiz var. Onlara neler yaptığımızı anlatıyoruz, onlarla çok iyi diyalog içerisindeyiz. Bu noktada rektörlerimiz bize alan açıyorlar. Çok güzel bir süreç var. Bu süreç içerisinde de inanılmaz bir sinerji oluştu. Gençlerimizle o diyaloğumuz giderek artıyor. "" Osman Aşkın Bak, Üniversite Öğrenci Toplulukları İş Birliği ve Destek Programı (ÜNİDES) ile üniversitedeki öğrencilerin kurdukları gruplara destek verdiklerine değinerek, ""Bu süreç gerçekten çok başarılı gidiyor. Bu süreçte bize yapılan 5 bin başvurunun 3 bin 400 tanesine destek verdik. Bunlara yaklaşık 300 milyon liraya yakın destek verdik. Gençler kulüpleri ile geliyorlar, yapacakları işleri anlatıyorlar ve inanılmaz bir sinerji oluştu. Onlarla yaptığımız toplantılarda, katıldığımız üniversite etkinliklerinde bunları görüyoruz."" bilgisini paylaştı. Sporun, yaşamın bir parçası olduğuna işaret eden Bak, sözlerini şöyle sürdürdü: ""Üniversite okurken, üniversitede akademisyenlik yaparken, siyaset süreci içerisinde sporla iç içe bulunduk. MilliEğitimBakanlığımız ile yaptığımız proje çerçevesinde yetenek taramasından tutun da 'yüzme bilmeyen kalmasın' kampanyasına kadar ciddi yatırımlarımız var. Bu zamana kadar 12 milyona yakın gencimize yüzme öğrettik. İnanılmaz bir tempo, inanılmaz bir yaklaşım, inanılmaz bir enerji var. "" Üniversitelerin spor içerisinde yaptıkları aktiviteler ile çok daha aktif olmasını istediklerini vurgulayan Bak, ""Rekabet istiyoruz. Bu rekabeti, bu heyecanı istiyoruz kampüslerde. Gençlerimizin buna katılmasını istiyoruz. Yine üniversitelere desteklerimiz artarak devam ediyor. Biz üniversitedeki gençlerimizin, yöneticilerimizin, idarecilerimizin spor içerisinde olmasını istiyoruz. Spor bir yaşam tarzı. Sporu içimize kadar hissetmemiz lazım. Bu gençlerin sporu içine kadar hissetmelerini sağlamamız lazım."" değerlendirmesinde bulundu. Bak, bakanlık olarak Spor Toto'nun desteğiyle üniversitelerdeki eksiklikleri gidermeye çalıştıklarını belirterek, şunları kaydetti: ""Gençlerimizin bu işleri yapması bizim için çok kıymetli. Spor dostu üniversite kampüsü çok önemli. Gençlerimizin bu dinamiğini yakalamamız gerekiyor. Biz gençlerimizle beraberiz. Yurt hizmetleri ile barınma hizmetleriyle yaklaşık 862 yurdumuzda 992 bin yatak kapasitesi ile beraber gençlerimize barınma hizmeti sağlıyoruz. Gençlerimize sabah kahvaltısı ve akşam yemeği ücretsiz veriyoruz. Onlarla beraberiz, burs veriyoruz. Yaklaşık 600 bin öğrencimize burs, 800 bine yakın öğrencimize kredi veriyoruz. Cumhurbaşkanımızın liderliğinde gençlerimize çok büyük yatırımlar yapılıyor."" Üniversitelerde bilim, sanat ve sporda üstün başarılar istediklerini aktaran Bak, ""Burada rektörlerimize ve hocalarımıza görev düşüyor. Herkes bu noktada daha aktif bir şekilde çalışmalı. Üniversitelerdeki bu aktivitenin artması lazım. Şimdi bizi bir tehlike bekliyor.Obezitegerçeğini unutmamamız lazım. O yüzden bütün toplumu hareket ettirmemiz lazım. Bunun en önemli yerlerinden bir tanesi de üniversitedeki hocalarımız, akademisyenlerin çizdiği vizyon çerçevesinde spor kulüplerimizle beraber bu aktifliği arttırmamız lazım. Gençlik ve Spor Bakanlığı olarak bu projenin arkasındayız, destekçisiyiz."" diye konuştu. Yükseköğretim Kurulu Başkanı Prof. Dr. Erol Özvar ise bir süre önce19 MayısÜniversitesi'nde Spor Dostu Kampüs Projesi'ni başlattıklarını hatırlattı. Özvar, Spor Dostu Kampüs unvanını almaya hak kazanan üniversiteleri kamuoyuna ilan etmenin mutluluğunu yaşadıklarını kaydederek, ""Sporun eğitsel değeri sadece fiziksel güçlenme ile sınırlı değildir. Spor karar alma, disiplin, takım çalışması, zaman yönetimi, liderlik ve krizle başa çıkma gibi hayati becerilerin de kazanıldığı bir eğitim sahasıdır. Bu nedenle üniversitelerimizin spor altyapılarını geliştirmeleri, gençlerimizin hayata hazırlık süreçlerini güçlendirmektedir."" ifadesini kullandı. Sporun eğitsel unsur olarak tüm yükseköğretim sisteminde daha görünür hale gelmesini hedeflediklerini vurgulayan Özvar, şunları dile getirdi: ""Küresel düzeyde hızla yayılan dijitalleşme, hareketsizlik, ekran bağımlılığı ve sosyal yalnızlık gibi yeni nesil tehditler, genç nüfusun fiziksel ve zihinsel sağlığını doğrudan etkilemektedir. Yapılan araştırmalar üniversite öğrencilerinin yüzde 83'ünün sedanter yani hareketsiz yaşam tarzı benimsediğini ortaya koymaktadır. Bu veriler, yükseköğretim kurumlarının, gençlerin yaşam alışkanlıklarını olumlu yönde geliştirme sorumluluğunu açıkça ortaya koyması bakımından fevkalade önemlidir."" Erol Özvar, 98 kampüsün Spor Dostu Kampüs unvanını alabilmesi için başvuru yapıldığına işaret ederek, ""Ön değerlendirmeyi geçen 66 üniversitenin toplam 77 kampüsü Spor Bilimleri ile Beslenme ve Diyetetik bölümlerinde görev yapan 57 akademisyenden oluşan bağımsız bir panel tarafından detaylı bir şekilde incelenmiş ve puanlanmış. Yapılan değerlendirme sonucunda, belirlenen kriterleri başarıyla karşılayan 47 üniversitemizin toplam 48 kampüsü Spor Dostu Kampüs unvanını almaya hak kazanmıştır."" bilgisini verdi. Özvar, Spor Dostu Kampüs unvanının yalnızca bir ödül olmadığına dikkati çekerek, ""Sistemli bir kalite güvence sürecinin ve sürdürülebilir bir spor kültürünün ürünüdür. Sürdürülebilirliği sağlamak adına, değerlendirmeler üç yıl geçerli olacak ve üniversiteler bu süre zarfında her yıl gelişim raporu sunmakla yükümlü olacaklardır. Temennimiz odur ki üniversitelerimizde atılan bu adımlar sadece kampüs sınırları içinde kalmasın. Spor Dostu Kampüs Projesi, toplumun tüm kesimlerinde yaygınlaşacak bir spor kültürünün başlangıç noktası olsun."" değerlendirmesinde bulundu. İlim Yayma Vakfı Mütevelli Heyeti Başkanı Bilal Erdoğan da Cumhurbaşkanı Recep Tayyip Erdoğan'ın, spordan gelen siyasetçi bir lider olması nedeniyle Türkiye'de son 20 yılı aşkın süreçte spor altyapısında çok ciddi ilerlemeler sağlandığını vurguladı. Türkiye'nin dünya çapında birçok uluslararası müsabakaya başarıyla ev sahipliği yaptığını ve spor alanındaki rüşdünü ispat ettiğini belirten Erdoğan, ""Türkiye'deki bu altyapı güçlenmesi sadece yoldan, sadece köprüden, toplu konuttan, hastaneden okuldan ibaret değil, gerçekten spor sahasında da çok ciddi mesafe alındı."" dedi. Bilal Erdoğan, 2015 yılında kurdukları Dünya Etnospor Birliği'nin, Türkiye'de geleneksel sporların güçlenmesiyle ilgili çalışmalar yaptığını anımsatarak, ""Biz burada da gerçekten ciddi anlamda geleneksel sporlara halkımızın sarıldığını gördük. Yani yağlı güreşte, cirit sporunda mevcut tabanda ciddi bir teveccüh vardı. Şimdi gelenekselokçulukve onun uzantısı olan olimpik okçulukta da lisanslı sporcu sayısında beş katı aşan birbüyümeolduğunu gördük."" diye konuştu. 2019 yılında kurulan Geleneksel Türk Okçuluk Federasyonu'nun, lisanslaşma ve kulüp sayısı anlamında son 6 yılın en hızlı büyüyen federasyonu olduğuna işaret eden Erdoğan, ""Dolayısıyla inanıyorum ki geleneksel sporların da güçlenmesi spora mesafeli olan kesimlerin, sporla yeniden ilişki kurması için bir fırsat sunmuş oluyor."" ifadesini kullandı."
spor,"Fenerbahçe Beko, THY Avrupa Ligi'nde dörtlü finale yükseldi",https://www.trthaber.com/haber/spor/fenerbahce-beko-thy-avrupa-liginde-dortlu-finale-yukseldi-905650.html,"Serinin ilk 2 maçını 83-78 ve 89-72'lik skorlarla kazanan sarı-lacivertli ekip, durumu 3-0'a getirerek adını dörtlü finale yazdırdı. Müsabakaya iyi başlayamayan sarı-lacivertli ekip, 4. dakikada 5 sayı farkla (9-4) geri düştü. Rakibinin farkı daha da açmasını engelleyerek 8. dakikada 16-16 beraberliği yakalayan Fenerbahçe, ilk çeyreği 20-18 üstün bitirdi. İkinci çeyreğe iki takım da iyi hücum ederek girdi. Maçın 14. dakikasında Guduric'in 3 sayılık basketiyle dengeyi lehine çeviren Fenerbahçe Beko, 16. dakikada 7 sayılık (27-34) fark yakaladı. Müsabakanın 17 ile 18. dakikaları arasında 6-0'lık seri yapan Paris Basketbol, farkı 1 sayıya (35-36) indirdi. Tarık Biberoviç'in 3 sayılık basketiyle rakibinin öne geçmesini önleyen Fenerbahçe, devre arasına 46-40 önde girdi. Sarı-lacivertli ekipte ilk yarıda 11 sayı üreten Tarık, ön plana çıkan oyuncu oldu. Mücadelenin ikinci yarısı karşılıklı basketlerle başladı. Karşılaşmanın 24. dakikasına kadar üstünlüğünü koruyan Fenerbahçe, 25. dakikada 55-53 geri düştü. Ev sahibi ekip, 27. dakikanın sonunda farkı 4 sayıya çıkardı: 59-55. Fenerbahçe, 5-0'lık seri sonrası 29. dakikada 60-59 öne geçti. Sarı-lacivertli ekip, son çeyreğe 63-61 önde girdi. Karşılaşmanın son bölümü çok çekişmeli geçti. Fenerbahçe Beko, 35. dakikası 71-71 eşitlikle geçilen müsabakada, 38. dakikada 80-73 üstünlük kurdu. Sarı-lacivertli ekip, kalan sürede rakibinin 7-0'lık serisine engel olamadı. Paris Basketbol, bitime 15 saniye kala Shorts'un basketiyle 80-80 eşitliği sağladı. Son hücumu kullanan Fenerbahçe, isabet sağlayamayınca maç uzatmaya gitti. Sarı-lacivertli ekip, uzatmaya etkili girdi. İyi savunma yapan Fenerbahçe, hücumda da tamamı Tarık Biberoviç'in elinden 7-0'lık seri yakaladı. Etkili oyununu sürdüren Fenerbahçe, uzatmanın 4. dakikasında maçta ilk kez farkı çift haneye taşıdı: 82-93. Kalan bölümde üstünlüğünü koruyan sarı-lacivertli ekip, sahadan 98-88 üstün ayrıldı. Fenerbahçe Beko'da 21 sayıyla kariyer rekoru kıran Tarık Biberoviç, galibiyette başrolü oynadı. Süre alan tüm oyuncularının skor ürettiği sarı-lacivertlilerde Hayes-Davis 18, Guduric ise 14 sayıyla çift haneye ulaşan diğer isimler oldu. Paris Basketbol'da ise 29 sayıyla maçın en skoreri Shorts ile 24 sayı üreten Hifi'nin performansları seriyi uzatmaya yetmedi. THY Avrupa Ligi Dörtlü Final'e bu sezon Birleşik Arap Emirlikleri'nin başkenti Abu Dabi ev sahipliği yapacak. Fenerbahçe Beko, turnuva tarihinde ilk kez Avrupa kıtası dışında düzenlenecek dörtlü finale adını yazdıran ilk takım oldu. 23-25 Mayıs'ta yapılacak dörtlü finalde müsabakalar, Abu Dabi'nin eğlence merkezi Yas Adası'ndaki Etihad Arena'da oynanacak. Sarı-lacivertli ekip, yarı finalde Anadolu Efes-Panathinaikos eşleşmesinin kazananıyla mücadele edecek."
spor,"İsviçreli eskrimciler, Avrupa Şampiyonası'nda İsrail'i protesto etti",https://www.trthaber.com/haber/spor/isvicreli-eskrimciler-avrupa-sampiyonasinda-israili-protesto-etti-905423.html,"Estonya'nın başkenti Tallinn'de düzenlenen şampiyonanın erkekler epe kategorisindeİsrailMilli Takımı, finalde İsviçre'yi mağlup ederekaltınmadalyanın sahibi oldu. Madalya seremonisi için ikincilik kürsüsüne çıkanİsviçreMilli Takımı sporcuları, İsrail ulusal marşı sırasında İsrail bayrağına yüzlerini dönmeyerek İsrail'in Gazze'ye yönelik saldırıları için protestoda bulundu. Daha önce deIrakMilli Takımı, İsrail'i protesto etmek amacıyla 2023'tekiDünya Kupasıetabından çekilmişti. İsrail Dışişleri Bakanı ve İsviçre Eskrim Federasyonu bu davranışı kınadı. Olayla ilgili sporcular hakkında bir yaptırım uygulanıp uygulanmayacağı henüz netleşmedi."
spor,Cumhurbaşkanlığı Türkiye Bisiklet Turu'nun ilk etabı tamamlandı,https://www.trthaber.com/haber/spor/cumhurbaskanligi-turkiye-bisiklet-turunun-ilk-etabi-tamamlandi-905386.html,"Cumhurbaşkanlığıhimayesinde, Gençlik ve Spor Bakanlığı'nın desteğiyle TürkiyeBisikletFederasyonu tarafından organize edilen 60'ıncı Cumhurbaşkanlığı Türkiye Bisiklet Turu,Antalyaetabıyla başladı. İlk yarış için başlama işaretini Gençlik ve Spor BakanıOsman Aşkın Bakverdi. Yarışlara 13 ülkeden 23 takım, 161 bisikletçi ile katılıyor. 132 kilometrelik Antalya etabı Atatürk Parkı'nda son buldu. Turun ilk etabını, Belçikalı sporcu Simon Dehairs 2 saat 51 dakika 4 saniye ile tamamlayarak birinci oldu. İtalyan sporcu Matteo Malucelli 2'nciliği, Belçikalı Jules Hesters ise 3'üncülüğü elde etti. Dereceye giren sporculara ödülleri törenle takdim edildi. Toplam bin 153 kilometrelik 8 etaptan oluşan Bisiklet Turu, 4 Mayıs Pazar günü İzmir'de sona erecek."
spor,"Ziraat Türkiye Kupası finali, Gaziantep Stadı'nda oynanacak",https://www.trthaber.com/haber/spor/ziraat-turkiye-kupasi-finali-gaziantep-stadinda-oynanacak-905240.html,"Türkiye Futbol Federasyonunun internet sitesinde yer alan açıklamada, Galatasaray ile Trabzonspor arasında oynanacak Türkiye Kupası finaline her iki kulübün mutabakatı doğrultusunda Gaziantep Stadı'nın ev sahipliği yapacağı belirtildi. Karşılaşmanın daha önce ilan edildiği üzere saat 20.45'te başlayacağı aktarıldı."
spor,UEFA İstanbul Ofisi açıldı,https://www.trthaber.com/haber/spor/uefa-istanbul-ofisi-acildi-905092.html,"Türkiye Futbol Federasyonu (TFF) Levent Kasrı'nın ev sahipliğini yapacağıUEFAtemsilciliğinin açılışı gerçekleştirildi. Açılışa Cumhurbaşkanı Recep Tayyip Erdoğan, Gençlik ve Spor Bakanı Osman Aşkın Bak, UEFA Başkanı Aleksander Ceferin, UEFA yönetim kurulu üyeleri, Türkiye Futbol Federasyonu Başkanı İbrahim Hacıosmanoğlu, Türkiye Futbol Federasyonu Onursal Başkanı Şenes Erzik, Türkiye Futbol Federasyonu eski Başkanı Nihat Özdemir,Kulüpler BirliğiVakfı veFenerbahçeBaşkanı Ali Koç,GalatasarayBaşkanı Dursun Özbek,BeşiktaşBaşkanı Serdal Adalı, A Milli Erkek Futbol Takımı Teknik Direktörü Vincenzo Montella, A Milli Kadın Futbol Takımı Teknik Direktörü Necla Güngör Kıragası, üye ülke federasyon başkanları, kulüp temsilcileri ve davetliler katıldı. Açılıştaİstanbulşehriyle ilgili bir sunum da gerçekleştirildi. Kıtaları buluşturan, tarih ve medeniyetin kesişim noktası olan İstanbul, böylece dünya futbolunun sayılı merkezleri arasındaki yerini alacak. Günün anısına UEFA Başkanı Aleksander Ceferin, Cumhurbaşkanı Recep Tayyip Erdoğan'a hediye takdim etti. AyrıcaTFFBaşkanı İbrahim Hacıosmanoğlu ile Aleksander Ceferin de birbirlerine hediyeler verdi. Daha sonra yapılan toplu fotoğraf çekimiyle açılış sona erdi. İstanbul bugüne kadar 2005 UEFAŞampiyonlar Ligifinali, 2009 UEFA Kupası finali, 2019 UEFASüper Kupafinali ve 2023 UEFA Şampiyonlar Ligi finaline ev sahipliği yaptı. İstanbul'da ayrıca 2026UEFA Avrupa Ligifinali gerçekleştirilecekken, 2027 UEFA Konferans Ligi finali ise İstanbul ya da yapımı devam eden stadın durumuna göre Ankara'da oynanacak. Türkiye, 2032 Avrupa Futbol Şampiyonası'nı daİtalyaile ortaklaşa düzenleyecek."
